State, Total_Rating, Rating_1, Rating_1.5, Rating_2, Rating_2.5, Rating_3, Rating_3.5, Rating_4, Rating_4.5, Rating_5,
PA, 12644, 53, 271, 641, 1162, 1997, 2982, 3271, 1933, 334
TN, 4353, 30, 197, 291, 392, 580, 899, 1116, 700, 148
MO, 4248, 32, 161, 275, 418, 626, 990, 982, 641, 123
FL, 8732, 34, 219, 425, 804, 1151, 1904, 2269, 1598, 328
IN, 4150, 21, 162, 293, 400, 574, 867, 1059, 668, 106
NV, 1675, 3, 40, 100, 156, 248, 356, 436, 281, 55
IL, 983, 7, 61, 80, 119, 163, 202, 189, 140, 22
AZ, 2675, 7, 65, 168, 272, 448, 659, 638, 350, 68
LA, 3641, 25, 126, 175, 241, 452, 772, 1042, 683, 125
NJ, 3343, 16, 85, 178, 325, 526, 816, 851, 465, 81
CA, 1161, 0, 9, 29, 72, 122, 257, 394, 229, 49
DE, 962, 7, 21, 68, 101, 173, 216, 222, 130, 24
ID, 1304, 1, 24, 70, 131, 196, 294, 333, 211, 44
